,Orbit Type,percentage
1,1518,0.26
16,1922,0.22
5,3572,0.14
15,1519,0.11
7,1822,0.09
8,1819,0.06
18,1522,0.04
9,35,0.03
0,1618,0.02
41,2022,0.02
14,1,0.02
120,1025,0.01
116,1937,0.01
110,1648,0.01
111,229,0.01
112,1526,0.01
113,329,0.01
114,632,0.01
115,2122,0.01
117,1720,0.01
121,1537,0.01
124,1931,0.01
118,620,0.01
123,1525,0.01
122,124,0.01
108,1836,0.01
119,1622,0.01
109,2223,0.01
103,427,0.01
107,59,0.01
97,2632,0.01
90,1032,0.01
91,137,0.01
92,1719,0.01
93,151,0.01
94,310,0.01
95,1632,0.01
96,429,0.01
98,1026,0.01
106,2032,0.01
99,3241,0.01
100,1536,0.01
101,1617,0.01
102,1532,0.01
126,915,0.01
104,624,0.01
105,436,0.01
125,1925,0.01
131,2532,0.01
127,1832,0.01
156,548,0.01
149,2224,0.01
150,1048,0.01
151,18,0.01
152,635,0.01
153,1624,0.01
154,519,0.01
155,2431,0.01
157,1827,0.01
147,631,0.01
158,1024,0.01
159,1927,0.01
160,2948,0.01
161,2629,0.01
162,2439,0.01
163,1019,0.01
164,2037,0.01
148,1926,0.01
146,1940,0.01
128,610,0.01
136,29,0.01
129,2332,0.01
130,45,0.01
88,424,0.01
132,2026,0.01
133,1546,0.01
134,1040,0.01
135,2932,0.01
137,410,0.01
145,1540,0.01
138,1636,0.01
139,120,0.01
140,637,0.01
141,1718,0.01
142,1126,0.01
143,1939,0.01
144,125,0.01
89,110,0.01
83,19,0.01
87,526,0.01
36,5,0.01
29,1529,0.01
30,1920,0.01
31,2231,0.01
32,1619,0.01
33,1829,0.01
34,416,0.01
35,1527,0.01
37,516,0.01
47,419,0.01
38,1015,0.01
39,1629,0.01
40,1524,0.01
42,521,0.01
43,1520,0.01
44,1824,0.01
45,1029,0.01
28,1521,0.01
27,216,0.01
26,118,0.01
25,1821,0.01
2,16,0.01
3,2021,0.01
4,418,0.01
6,27,0.01
10,4,0.01
11,2,0.01
12,415,0.01
13,1516,0.01
17,1621,0.01
19,3,0.01
20,1823,0.01
21,10,0.01
22,2123,0.01
23,115,0.01
24,15,0.01
46,615,0.01
48,2232,0.01
86,510,0.01
76,733,0.01
69,215,0.01
70,1932,0.01
71,1620,0.01
72,1721,0.01
73,1541,0.01
74,721,0.01
75,1626,0.01
77,517,0.01
49,221,0.01
78,619,0.01
79,1517,0.01
80,132,0.01
81,1924,0.01
82,528,0.01
84,2126,0.01
85,2133,0.01
68,1820,0.01
67,226,0.01
66,716,0.01
65,116,0.01
50,515,0.01
51,530,0.01
52,723,0.01
53,1523,0.01
54,211,0.01
55,119,0.01
56,622,0.01
57,924,0.01
58,14,0.01
59,1929,0.01
60,117,0.01
61,2132,0.01
62,435,0.01
63,25,0.01
64,520,0.01
165,131,0.01
